"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"DNA-directed DNA polymerase",1.40285296301244,0.0199034992526071,1.43783829518042,0.0543030748112046,0.028903839194342,65,1.37840084913159,0.0675686825237085,0.026954498202957,93,0.0395218533667842,1.50391342979833,146.593546115638,0.134755044466447,0.706320217468745,0.0422167795215558,0.0286616338130816,0.142782835074693,0.806324146987683
"DNA helicase",1.3537963808663,0.0204585465521888,1.39395869269787,0.0631430214155707,0.0311677894420039,65,1.32572594786574,0.0669926704574157,0.0268393609320533,93,0.0411312824252067,1.65890146888076,140.401842634452,0.0993679222902524,0.706320217468745,0.0501874851027,0.0304376294582835,0.101188055134228,0.806324146987683
"Histidine kinase",0.855196108475241,0.0172004913594089,0.830111466220841,0.0486268549778299,0.0273515166160376,65,0.872728385319715,0.0451893549602249,0.0220432992671937,93,0.0351285141129033,-1.21317169755323,134.627878754568,0.227188476798334,0.706320217468745,-0.0500643910769593,0.0410324954935632,0.224262277008365,0.806324146987683
"Peptidylprolyl isomerase",0.694589496640237,0.0130306790852517,0.696955041068413,0.0277677205495617,0.0206687130891714,65,0.692936159136672,0.0264594776918906,0.0168674394267781,93,0.0266778225044421,0.150645050999641,135.748545079999,0.880479339681101,0.965898504654087,0.00578303270297543,0.038222678991676,0.879935754646053,0.999220610047494
"Protein-N(pi)-phosphohistidine--sugar phosphotransferase",0.668389928581746,0.028827783992081,0.70639078336734,0.128140664094939,0.0444003922531078,65,0.641830191366008,0.133199299095414,0.03784508591492,93,0.0583407692796171,1.10661194218925,139.538680687254,0.270365844895334,0.706320217468745,0.0958448326024822,0.0870838261587814,0.272764301522094,0.82047477878728
"DNA-directed RNA polymerase",0.584479896298442,0.00816685775425641,0.600650426537553,0.00947004800359081,0.012070337452163,65,0.573177912797988,0.0110819652943848,0.0109160852481063,93,0.0162743344980067,1.68808830511194,144.335489858819,0.0935538521886715,0.706320217468745,0.0468169502329074,0.0281596809641312,0.0984099904822254,0.806324146987683
"NADH:ubiquinone reductase (H(+)-translocating)",0.509068772288427,0.0225582230082531,0.460770394604723,0.0758523155954091,0.0341607772374668,65,0.542825702927575,0.0816408913254142,0.0296286862096488,93,0.0452196610776514,-1.81459361630213,140.999867369499,0.0717120577358698,0.706320217468745,-0.163888419824167,0.0911662132872144,0.0741604748307451,0.787815295438166
"Site-specific DNA-methyltransferase (adenine-specific)",0.417487720533043,0.0122846870196186,0.418117599747546,0.0175339506326731,0.0164241616728681,65,0.417047482372368,0.028492875000333,0.0175035710643166,93,0.0240026683237529,0.0445832671911198,153.863583074655,0.964497288595493,0.991926859055234,0.0025626501382062,0.0599830725029857,0.965977067246828,0.999220610047494
"3-oxoacyl-[acyl-carrier-protein] reductase",0.394038955794798,0.0110512154180262,0.374471673320515,0.0198808810156455,0.017488845242983,65,0.407715013438114,0.0186400353847701,0.0141573474919662,93,0.0225008932254097,-1.47742313092079,135.025700854229,0.141890929924692,0.706320217468745,-0.0850522724319235,0.0573412618234817,0.140021582396473,0.806324146987683
"H(+)-transporting two-sector ATPase",0.382259356652049,0.00445597311395923,0.389918906010267,0.00282335526164911,0.0065906171785806,65,0.376905908175875,0.00331920519036766,0.00597414248164957,93,0.00889531411393953,1.46290481344554,144.511304823011,0.145664958111499,0.706320217468745,0.0339432083332712,0.0235592676437982,0.151657100524962,0.806324146987683
