"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"NADH:ubiquinone reductase (H(+)-translocating)",5.25316455696202,1.56479904204813,6.46153846153846,370.096153846154,2.38616574911478,65,4.40860215053763,401.005142589995,2.07650746535038,93,3.16317407613055,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309774836652,0.609768958335856,0.53159225786305,0.5316010843638
"DNA-directed DNA polymerase",4.20253164556962,1.2518392336385,5.16923076923077,236.861538461538,1.90893259929183,65,3.52688172043011,256.643291257597,1.6612059722803,93,2.53053926090444,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.38230977483667,0.609768954380871,0.531592255204298,0.5316010843638
"Formate dehydrogenase",4.20253164556962,1.2518392336385,5.16923076923077,236.861538461538,1.90893259929183,65,3.52688172043011,256.643291257597,1.6612059722803,93,2.53053926090444,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.38230977483667,0.609768954380871,0.531592255204298,0.5316010843638
"Histidine kinase",3.67721518987342,1.09535932943369,4.52307692307692,181.347115384615,1.67031602438035,65,3.08602150537634,196.492519869098,1.45355522574527,93,2.21422185329139,0.649011487066858,141.275297089855,0.51738462437196,0.51738462437196,0.382309774836673,0.609768952362502,0.53159225384745,0.5316010843638
"DNA helicase",3.15189873417722,0.938879425228877,3.87692307692308,133.234615384615,1.43169944946887,65,2.64516129032258,144.361851332398,1.24590447921023,93,1.89790444567833,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309774836678,0.609768950395927,0.531592252525418,0.5316010843638
"Peptidylprolyl isomerase",2.62658227848101,0.782399521024064,3.23076923076923,92.5240384615385,1.19308287455739,65,2.20430107526882,100.251285647499,1.03825373267519,93,1.58158703806528,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309774836678,0.609768948585798,0.531592251308562,0.5316010843638
"2-oxoglutarate synthase",2.10126582278481,0.625919616819251,2.58461538461538,59.2153846153846,0.954466299645914,65,1.76344086021505,64.1608228143993,0.830602986140152,93,1.26526963045222,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309748985853,0.609782047153085,0.5316010843638,0.5316010843638
"Carbamoyl-phosphate synthase (glutamine-hydrolyzing)",2.10126582278481,0.625919616819251,2.58461538461538,59.2153846153846,0.954466299645914,65,1.76344086021505,64.1608228143993,0.830602986140152,93,1.26526963045222,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309748985853,0.609782047153085,0.5316010843638,0.5316010843638
"DNA-directed RNA polymerase",2.10126582278481,0.625919616819251,2.58461538461538,59.2153846153846,0.954466299645914,65,1.76344086021505,64.1608228143993,0.830602986140152,93,1.26526963045222,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309748985853,0.609782047153085,0.5316010843638,0.5316010843638
"Fumarate reductase (quinol)",2.10126582278481,0.625919616819251,2.58461538461538,59.2153846153846,0.954466299645914,65,1.76344086021505,64.1608228143993,0.830602986140152,93,1.26526963045222,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309748985853,0.609782047153085,0.5316010843638,0.5316010843638
