"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"Arsenite-transporting ATPase",23.5949367088608,7.69895895804798,41.9384615384615,19087.4961538462,17.1363294489295,65,10.7741935483871,2299.91584852735,4.97295464901444,93,17.8433198963478,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386921,0.65319477905657,0.0391034498055455,0.0586145003329162
"Gamma-glutamyltransferase",23.5949367088608,7.69895895804798,41.9384615384615,19087.4961538462,17.1363294489295,65,10.7741935483871,2299.91584852735,4.97295464901444,93,17.8433198963478,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386921,0.65319477905657,0.0391034498055455,0.0586145003329162
"Glutathione hydrolase",23.5949367088608,7.69895895804798,41.9384615384615,19087.4961538462,17.1363294489295,65,10.7741935483871,2299.91584852735,4.97295464901444,93,17.8433198963478,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386921,0.65319477905657,0.0391034498055455,0.0586145003329162
"DNA helicase",17.75,5.06062575979555,29.3692307692308,7903.43380408654,11.0268440314371,65,9.62903225806452,1245.1244740533,3.65902107193634,93,11.618077487197,1.69909337693089,78.2104043098592,0.0932762567792776,0.11962784501737,1.1151648240795,0.553371483939945,0.0455990283163633,0.0586145003329162
"DNA-directed DNA polymerase",16.2753164556962,4.58796696374812,26.7480769230769,6449.43090444712,9.96102474219249,65,8.95564516129032,1057.35891479663,3.37186160699665,93,10.5162476488198,1.69189927395665,78.7876837804652,0.0946169061813233,0.120921441004854,1.09417850122068,0.547092453399381,0.0472371698881702,0.060311743696503
"(S)-2-hydroxy-acid oxidase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"1,4-dihydroxy-2-naphthoate polyprenyltransferase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"D-serine ammonia-lyase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"Demethylmenaquinone methyltransferase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"Diamine N-acetyltransferase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"Formylmethanofuran dehydrogenase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"Gluconate 5-dehydrogenase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"Hydroxymethylglutaryl-CoA lyase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"Isocitrate dehydrogenase (NAD(+))",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"L-rhamnonate dehydratase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"S-methyl-5-thioribose-1-phosphate isomerase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"S-methyl-5-thioribose kinase",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"Sulfoacetaldehyde dehydrogenase (acylating)",11.7974683544304,3.84947947902399,20.9692307692308,4771.87403846154,8.56816472446475,65,5.38709677419355,574.978962131837,2.48647732450722,93,8.92165994817392,1.74655098777067,74.8641620456726,0.0848168227119234,0.11962784501737,1.35904955386926,0.653194797426328,0.0391034552422329,0.0586145003329162
"Iron-chelate-transporting ATPase",11.5996835443038,3.4591716623525,19.7403846153846,3775.28628305288,7.621110642917,65,5.90994623655914,520.529336138382,2.36581690667232,93,7.97987575514052,1.73316462601766,76.4354514041213,0.0870990223609515,0.11962784501737,1.20602978106756,0.582134599802962,0.0399362287322478,0.0586145003329162
"Protein-N(pi)-phosphohistidine--sugar phosphotransferase",9.73164556962025,2.67373461653384,15.205,2065.17055078125,5.63665278577667,65,5.90618279569892,454.950049672744,2.21177214422881,93,6.05506322389703,1.53570934942548,83.842782275872,0.128374959882034,0.156902728744709,0.945624586506537,0.535250169837135,0.079234723418203,0.0968424397333592
