"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"NADH:ubiquinone reductase (H(+)-translocating)",8.87319947621126,1.27122617241091,7.69867374005305,168.381252858319,1.60949706840519,65,9.69410456062291,316.93644279084,1.84605491242445,93,2.44916303109682,-0.814739890825578,155.69959922873,0.416465651706146,0.579333573480432,-0.230469851013674,0.296310811352869,0.43786632146861,0.634608817661025
"DNA helicase",8.70285901353121,1.26019783510329,7.51458885941645,163.326204209732,1.58515325252667,65,9.53337041156841,312.886637326498,1.83422257220081,93,2.42426963813162,-0.832738042170851,155.807544012317,0.406267114663315,0.579333573480432,-0.23795200609809,0.299616404567359,0.428291971066729,0.634608817661025
"Peptidylprolyl isomerase",8.38236577913575,1.19183826682958,7.34588859416446,152.319484587945,1.5308091605319,65,9.10678531701891,275.753349131886,1.72194360407409,93,2.3040109508377,-0.764274458944832,155.375468841596,0.445862815952664,0.579333573480432,-0.214878993135694,0.293843916023439,0.465711757692996,0.634608817661025
"23S rRNA (adenine(2085)-N(6))-dimethyltransferase",8.24683544303798,1.49040000130862,8.93846153846154,312.339903846154,2.1920833218518,65,7.76344086021505,381.07386629266,2.02424515678309,93,2.98375564426791,0.393805933975798,145.889776458103,0.694299298786571,0.759923051034829,0.1409378412167,0.366672036044612,0.701227455547218,0.790438938150272
"DNA-directed DNA polymerase",8.02843736359668,1.14496400429396,6.97867374005305,136.887220902314,1.45119166365129,65,8.76214312198739,256.921357591505,1.66210566538936,93,2.20647965945086,-0.808287252635813,155.679821124001,0.420158657728707,0.579333573480432,-0.227581633526791,0.294885664473653,0.441422743398125,0.634608817661025
"2-oxoglutarate synthase",5.19332169358359,0.759139535259004,4.48636604774536,59.6976205524559,0.958344891767178,65,5.68743047830923,113.257400776808,1.10354950669606,93,1.46159038218831,-0.821751733728315,155.750975753862,0.41247435659206,0.579333573480432,-0.237215530039866,0.302517004049352,0.434147289813619,0.634608817661025
"Glycerol-3-phosphate dehydrogenase",4.02373417721519,0.650811595130652,3.49615384615385,31.1630709134615,0.692410182050424,65,4.39247311827957,92.1907579476391,0.995639730301709,93,1.21273671205351,-0.739088099846502,151.551323190331,0.460996674159978,0.579333573480432,-0.228228958504576,0.331380402973548,0.49202124914801,0.634608817661025
"DNA topoisomerase",3.7303360977739,0.594326120988382,3.10525198938992,34.4626074270557,0.728144189303356,65,4.16722284019281,70.7968243353296,0.872499957391807,93,1.13641987665869,-0.934488099526474,155.999947571422,0.351496404368286,0.579333573480432,-0.294154960291978,0.331356780987672,0.376053286225621,0.634608817661025
"2-oxoacid oxidoreductase (ferredoxin)",3.41868179834134,0.505207314439368,2.94663129973475,26.3635824567822,0.636862289869787,65,3.74860956618465,50.2116161051843,0.734785581372811,93,0.972370005117171,-0.824766562347079,155.774503577157,0.410765295672382,0.579333573480432,-0.240722403320692,0.305934971755762,0.432568238511437,0.634608817661025
"Methylaspartate mutase",3.33755274261603,0.925712211902844,2.91282051282051,77.9384615384615,1.0950129014938,65,3.63440860215054,176.623344241858,1.37810585389371,93,1.7601786838199,-0.40995161227839,155.652418377412,0.6824051136186,0.75116456423036,-0.221324542232692,0.571509991374039,0.699089505867115,0.790438938150272
"Site-specific DNA-methyltransferase (adenine-specific)",3.29687909209952,0.48729777358916,2.89114058355438,26.4481465402909,0.637882874953013,65,3.58045977011494,45.4298928122146,0.698923079529559,93,0.946249456146424,-0.728475120469606,154.751707345394,0.467423717678295,0.582017919431683,-0.213840129720566,0.305830736598805,0.485461556651863,0.634608817661025
"Type I site-specific deoxyribonuclease",3.177288218111,0.466237792269164,2.74544378698225,20.6683057009558,0.563891774954077,65,3.47911497105045,44.0098377276336,0.687912829933748,93,0.889493111523815,-0.824819410699352,155.954872515363,0.410733921302597,0.579333573480432,-0.236835209860107,0.302841623290132,0.435374612276202,0.634608817661025
"Beta-galactosidase",3.01906037000974,0.434418959053222,2.59337278106509,16.2436887517069,0.499902894442924,65,3.31658395368073,39.3671417476507,0.650617091258064,93,0.820491013545863,-0.881437042790004,155.02329157034,0.379445891015885,0.579333573480432,-0.245976062994138,0.296305498231481,0.407726292228044,0.634608817661025
"5' to 3' exodeoxyribonuclease (nucleoside 3'-phosphate-forming)",2.78481012658228,1.14192218441899,1.63076923076923,36.6740384615385,0.751143113082561,65,3.59139784946237,324.483403459561,1.86790493719672,93,2.01327713709147,-0.973849343725028,119.662192374536,0.332095872211366,0.579333573480432,-0.789489706771658,0.881465206055291,0.371816395631432,0.634608817661025
"Formyltetrahydrofolate deformylase",2.78481012658228,1.14192218441899,1.63076923076923,36.6740384615385,0.751143113082561,65,3.59139784946237,324.483403459561,1.86790493719672,93,2.01327713709147,-0.973849343725028,119.662192374536,0.332095872211366,0.579333573480432,-0.789489706771658,0.881465206055291,0.371816395631432,0.634608817661025
"Alpha-L-fucosidase",2.74903972064601,0.394628405863035,2.36477453580902,14.2555144516601,0.468311442256771,65,3.0176121616611,31.8958536582654,0.585633134623072,93,0.749854502765078,-0.870619064691559,155.73707301765,0.385302190002504,0.579333573480432,-0.243783159990982,0.296087786116731,0.41156726400188,0.634608817661025
"DNA-directed RNA polymerase",2.70495416848538,0.391287490288839,2.35257294429708,16.7665405881277,0.507884611185343,65,2.95124212087505,29.4692823221315,0.562915627304643,93,0.758169362176201,-0.789624596356127,155.050766101976,0.430952916872723,0.579333573480432,-0.22671654051962,0.29956440085488,0.45029878917004,0.634608817661025
"23S rRNA pseudouridine(1911/1915/1917) synthase",2.66195984286338,0.381367851723272,2.30960212201592,15.1543127572487,0.482849120521557,65,2.90823136818687,28.5242798511756,0.553816473727336,93,0.734748909329046,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010578,0.296310755058534,0.437866234603885,0.634608817661025
"C-terminal processing peptidase",2.66195984286338,0.381367851723272,2.30960212201592,15.1543127572487,0.482849120521557,65,2.90823136818687,28.5242798511756,0.553816473727336,93,0.734748909329046,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010578,0.296310755058534,0.437866234603885,0.634608817661025
"Beta-N-acetylhexosaminidase",2.54759493670886,0.334198364095903,2.236,10.0330025,0.392878969423644,65,2.76537634408602,23.0186099111734,0.497505713061415,93,0.633928875461697,-0.83507214228169,155.559886493608,0.404957769290113,0.579333573480432,-0.212488180396796,0.269604644830028,0.431806519782848,0.634608817661025
"Long-chain-fatty-acid--CoA ligase",2.48114360541248,0.362588047271756,2.12976127320955,12.5959332525382,0.440208573860832,65,2.7267334074898,26.5377458656656,0.534183588368667,93,0.692196283277376,-0.86243186896893,155.97822049479,0.389773943090611,0.579333573480432,-0.247094443588425,0.301977273201663,0.414459652511015,0.634608817661025
"Galactoside O-acetyltransferase",2.44303797468354,0.438071097487345,2.35384615384615,23.6909615384615,0.603718751871223,65,2.50537634408602,35.2535577372604,0.615687025447082,93,0.862291623909697,-0.175729632572352,151.986685054431,0.860740267061751,0.914437825006888,-0.062388312671733,0.366831641502086,0.865172756891001,0.945160426867717
"[Formate-C-acetyltransferase]-activating enzyme",2.36772151898734,0.342702778886678,2.0898673740053,12.5226567616391,0.438926255618607,65,2.56192065257694,22.8627167228399,0.495818176034775,93,0.662187225456533,-0.712869805433326,155.45573338367,0.476995006421024,0.583890293272247,-0.203656625555334,0.298741665386693,0.496430122660486,0.634608817661025
"Phosphomethylpyrimidine synthase",2.21751054852321,0.417285192164329,2.23641025641026,21.6521084401709,0.577156270535125,65,2.20430107526882,31.8871552127162,0.585553274003206,93,0.822181243591635,0.0390536531837833,151.729379489103,0.968898950458446,0.972257352366447,0.0144615279319199,0.383411042475307,0.969960685309336,0.997397876036596
"Acid phosphatase",2.1292194092827,0.317878354661971,2.03846153846154,10.0453725961538,0.393121093032392,65,2.1926523297491,20.2472793621111,0.466596915241648,93,0.610128572597616,-0.2527185223126,155.984531327246,0.800818459517698,0.862391525421371,-0.0729165450102507,0.304924575642407,0.811318829449845,0.901638392037352
"Glutathione peroxidase",2.0857485814055,0.304452188219241,1.84212201591512,9.82200152062563,0.388725758989461,65,2.25602521319985,18.0884101886765,0.441020446563245,93,0.58788327922197,-0.704056760778278,155.532479413277,0.482450205519933,0.588081408412718,-0.202686333002807,0.301199856981666,0.501987631241364,0.634608817661025
"All-trans-retinol 13,14-reductase",2.06962025316456,0.514967233130326,1.3,7.2678125,0.334383761567454,65,2.60752688172043,65.7367905563347,0.840742059304261,93,0.904798159968934,-1.44510338279791,119.123237882816,0.15105432573957,0.579333573480432,-0.696037952756792,0.523316284073519,0.185442382304438,0.634608817661025
"Ribonucleoside-diphosphate reductase",2.05689655172414,0.291296149260836,1.86588859416446,10.0885709434739,0.393965460092318,65,2.19039673711531,15.8171425966661,0.412403688289386,93,0.570338132918044,-0.568975006616799,153.167513680346,0.570206472053917,0.668303019182308,-0.160345288299186,0.291885798742494,0.583555903500268,0.706859556750324
"Undecaprenyl-diphosphate phosphatase",2.00940637276299,0.291605597631814,1.69501326259947,8.38834052867466,0.359237237419565,65,2.22914349276974,16.9736957855889,0.42721523604567,93,0.558179407232476,-0.956914969003532,155.98994904842,0.340090872079705,0.579333573480432,-0.273926862389407,0.301065720317648,0.364301368446164,0.634608817661025
"Cyclic pyranopterin phosphate synthase",1.95569620253165,0.590536848117054,1.8,15.5375,0.488915597561033,65,2.06451612903226,83.1914446002805,0.945796839901999,93,1.06469250204323,-0.248443685406473,133.984988068554,0.804171529683201,0.862391525421371,-0.137109220859374,0.612877325241681,0.823272575610942,0.905310203067506
"Protein-L-isoaspartate(D-aspartate) O-methyltransferase",1.95569620253165,0.590536848117054,1.8,15.5375,0.488915597561033,65,2.06451612903226,83.1914446002805,0.945796839901999,93,1.06469250204323,-0.248443685406473,133.984988068554,0.804171529683201,0.862391525421371,-0.137109220859374,0.612877325241681,0.823272575610942,0.905310203067506
"UDP-glucuronate decarboxylase",1.95569620253165,0.590536848117054,1.8,15.5375,0.488915597561033,65,2.06451612903226,83.1914446002805,0.945796839901999,93,1.06469250204323,-0.248443685406473,133.984988068554,0.804171529683201,0.862391525421371,-0.137109220859374,0.612877325241681,0.823272575610942,0.905310203067506
"Succinate--CoA ligase (ADP-forming)",1.93639240506329,0.308271916928914,1.74307692307692,11.1845216346154,0.414812684966923,65,2.07150537634409,17.7980107526882,0.437465952625258,93,0.602864846641262,-0.544779572232375,153.46781672386,0.586695892915454,0.679554076408515,-0.172623679785571,0.328514344536466,0.600004184403687,0.718093922432393
"Alpha-amylase",1.92010039284155,0.275591381819589,1.64689655172414,7.13167390011891,0.331237165791868,65,2.11104931405265,15.4278386390787,0.407296867229064,93,0.524984569350794,-0.88412648566508,155.90467245829,0.377989345603617,0.579333573480432,-0.248292490013785,0.296410475657878,0.403500759455146,0.634608817661025
"Chondroitin-sulfate-ABC endolyase",1.89556962025316,0.587451312480412,1.20769230769231,10.0460336538462,0.393134027915831,65,2.37634408602151,85.4926951846657,0.958788971728521,93,1.03625800658598,-1.12776139812844,120.634001469915,0.261658744191392,0.579333573480432,-0.676851853474254,0.652073476312287,0.30087656807484,0.634608817661025
"Chondroitin-sulfate-ABC exolyase",1.89556962025316,0.587451312480412,1.20769230769231,10.0460336538462,0.393134027915831,65,2.37634408602151,85.4926951846657,0.958788971728521,93,1.03625800658598,-1.12776139812844,120.634001469915,0.261658744191392,0.579333573480432,-0.676851853474254,0.652073476312287,0.30087656807484,0.634608817661025
"Fructuronate reductase",1.89556962025316,0.587451312480412,1.20769230769231,10.0460336538462,0.393134027915831,65,2.37634408602151,85.4926951846657,0.958788971728521,93,1.03625800658598,-1.12776139812844,120.634001469915,0.261658744191392,0.579333573480432,-0.676851853474254,0.652073476312287,0.30087656807484,0.634608817661025
"Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",1.86338155515371,0.281904093856015,1.55472527472527,7.36390988029827,0.336587167365837,65,2.07910906298003,16.1904350449857,0.41724177572296,93,0.536079864053675,-0.97818221391403,155.834314910282,0.329500316517947,0.579333573480432,-0.290640609027042,0.313804571508672,0.355781253245636,0.634608817661025
"Thiamine-phosphate diphosphorylase",1.84301363193768,0.303869910476886,1.77550295857988,11.5731793496814,0.421958425762564,65,1.89019851116625,16.8404664638954,0.425535291789077,93,0.599273891997671,-0.191390871716496,151.422389936898,0.848475766403307,0.90306519990352,-0.0625981161943903,0.337344105877629,0.85302961088222,0.933656228167874
"DNA (cytosine-5-)-methyltransferase",1.8376130198915,0.273169610331339,1.58082417582418,6.34956974219976,0.312547097797332,65,2.017089093702,15.6240219746735,0.409878318878678,93,0.515447305384698,-0.846381217479097,154.839532957788,0.398646276977894,0.579333573480432,-0.243709088087139,0.305988501589769,0.426972310226164,0.634608817661025
"Beta-glucosidase",1.83754315304948,0.375100785028918,1.42643356643357,10.7977588405912,0.407577436542219,65,2.12487781036168,30.2228106321406,0.570067064835458,93,0.700782295144819,-0.996663655413524,152.728171948086,0.320504243106764,0.579333573480432,-0.398536981464039,0.426765805428721,0.351822372499389,0.634608817661025
"S-adenosylmethionine:tRNA ribosyltransferase-isomerase",1.81763422086425,0.264411495747932,1.58270557029178,7.84342467758163,0.347373101956375,65,1.98183166481275,13.3282477226348,0.378569005124871,93,0.513792335096611,-0.77682376177513,154.59751066664,0.438449723993534,0.579333573480432,-0.224885731482077,0.301438847862476,0.456765389914093,0.634608817661025
"Peroxiredoxin",1.79576604103012,0.255814257844004,1.55236074270557,6.81598204975761,0.323822887245425,65,1.96588802373007,12.8322001401969,0.371457462798614,93,0.492789923773556,-0.83915530954428,155.701075132462,0.402668703757645,0.579333573480432,-0.236167231647597,0.294805655504357,0.424295296387422,0.634608817661025
"Carbamoyl-phosphate synthase (glutamine-hydrolyzing)",1.7949803579223,0.258997149865498,1.55628647214854,7.00383513216866,0.328254946231845,65,1.96180941787171,13.1460596175772,0.375972711455093,93,0.499105990231099,-0.812498654915763,155.680183397951,0.417746270267575,0.579333573480432,-0.231564702889782,0.298491718686806,0.439051818366523,0.634608817661025
"GTP diphosphokinase",1.79471846355303,0.258993570593563,1.55618037135279,7.00415937985914,0.328262544545794,65,1.96143863552095,13.1454233950878,0.375963613474573,93,0.499104134233064,-0.811971363032073,155.679517584656,0.418047868068122,0.579333573480432,-0.231443862782457,0.298528073635213,0.439345843438973,0.634608817661025
"Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)",1.79416817359855,0.261429367287919,1.56835164835165,7.09991385400314,0.330498780493576,65,1.95199692780338,13.4276978322886,0.379978746325393,93,0.503600329196435,-0.761805060897976,155.731175070945,0.447328522570254,0.579333573480432,-0.2188277518042,0.300983791257906,0.468290072064762,0.634608817661025
"H(+)-transporting two-sector ATPase",1.78402444347447,0.254431943476517,1.54132625994695,6.73809174060185,0.32196731178089,65,1.95365220615499,12.6966213778539,0.369489932900151,93,0.490087502768609,-0.841331280391196,155.706966749126,0.401452603249349,0.579333573480432,-0.237057293513159,0.295166243253608,0.423120727849674,0.634608817661025
"Mannose-1-phosphate guanylyltransferase",1.7746835443038,0.254243350427122,1.53984084880637,6.73492941095765,0.321891749863394,65,1.93882091212458,12.6774577116336,0.369210982484891,93,0.489827569883093,-0.814531659403005,155.699923395795,0.416584517387554,0.579333573480432,-0.230400944894581,0.296298687988274,0.437984337401049,0.634608817661025
"Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase",1.77463989524225,0.254245234482181,1.53973474801061,6.73525011433275,0.321899413681038,65,1.93882091212458,12.6774577116336,0.369210982484891,93,0.489832606219364,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010026,0.296310734903995,0.437866203503403,0.634608817661025
"Dipeptidyl-peptidase IV",1.77463989524225,0.254245234482181,1.53973474801061,6.73525011433275,0.321899413681038,65,1.93882091212458,12.6774577116336,0.369210982484891,93,0.489832606219364,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010026,0.296310734903995,0.437866203503403,0.634608817661025
"DNA topoisomerase (ATP-hydrolyzing)",1.77463989524225,0.254245234482181,1.53973474801061,6.73525011433275,0.321899413681038,65,1.93882091212458,12.6774577116336,0.369210982484891,93,0.489832606219364,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010026,0.296310734903995,0.437866203503403,0.634608817661025
"Exodeoxyribonuclease VII",1.77463989524225,0.254245234482181,1.53973474801061,6.73525011433275,0.321899413681038,65,1.93882091212458,12.6774577116336,0.369210982484891,93,0.489832606219364,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010026,0.296310734903995,0.437866203503403,0.634608817661025
"Fumarate reductase (quinol)",1.77463989524225,0.254245234482181,1.53973474801061,6.73525011433275,0.321899413681038,65,1.93882091212458,12.6774577116336,0.369210982484891,93,0.489832606219364,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010026,0.296310734903995,0.437866203503403,0.634608817661025
"IMP cyclohydrolase",1.77463989524225,0.254245234482181,1.53973474801061,6.73525011433275,0.321899413681038,65,1.93882091212458,12.6774577116336,0.369210982484891,93,0.489832606219364,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010026,0.296310734903995,0.437866203503403,0.634608817661025
"Phenylalanine--tRNA ligase",1.77463989524225,0.254245234482181,1.53973474801061,6.73525011433275,0.321899413681038,65,1.93882091212458,12.6774577116336,0.369210982484891,93,0.489832606219364,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010026,0.296310734903995,0.437866203503403,0.634608817661025
"Phosphoribosylaminoimidazolecarboxamide formyltransferase",1.77463989524225,0.254245234482181,1.53973474801061,6.73525011433275,0.321899413681038,65,1.93882091212458,12.6774577116336,0.369210982484891,93,0.489832606219364,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010026,0.296310734903995,0.437866203503403,0.634608817661025
"Ribonuclease H",1.77463989524225,0.254245234482181,1.53973474801061,6.73525011433275,0.321899413681038,65,1.93882091212458,12.6774577116336,0.369210982484891,93,0.489832606219364,-0.814739890825578,155.69959922873,0.416465651706147,0.579333573480432,-0.230469851010026,0.296310734903995,0.437866203503403,0.634608817661025
