"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"DNA-directed DNA polymerase",24.4983797468354,2.27655787796338,22.7013230769231,617.000377534615,3.08095983429394,65,25.7543870967742,964.323900892005,3.22010468822674,93,4.45661168419152,-0.685063953559369,153.102152164409,0.49433942951234,0.54515944924709,-0.126181777172386,0.190777627958875,0.509326644651158,0.560449384357577
"Protein-N(pi)-phosphohistidine--sugar phosphotransferase",24.4983797468354,2.27655787796338,22.7013230769231,617.000377534615,3.08095983429394,65,25.7543870967742,964.323900892005,3.22010468822674,93,4.45661168419152,-0.685063953559369,153.102152164409,0.49433942951234,0.54515944924709,-0.126181777172386,0.190777627958875,0.509326644651158,0.560449384357577
"DNA helicase",21.7763375527426,2.02360700263412,20.1789538461538,487.506471138462,2.73863096381684,65,22.8927885304659,761.934934038128,2.86231527842377,93,3.96143260817024,-0.685063953559368,153.102152164409,0.494339429512341,0.54515944924709,-0.126181777172385,0.190777627952436,0.509326644636887,0.560449384357577
"Histidine kinase",20.5915274261603,1.91208388430282,19.0856205128205,429.506125582906,2.57056152375883,65,21.6440430107527,684.2774175247,2.71253049638414,93,3.73705876877034,-0.684608580232205,153.490796045824,0.494623393171259,0.54515944924709,-0.125795068184344,0.190579999065796,0.510185904674923,0.560449384357577
"8-oxo-dGTP diphosphatase",15.6312067510549,1.47713155254346,14.4658871794872,276.447031716239,2.06228786961785,65,16.4456774193548,394.370410856163,2.05925764590466,93,2.91437357066484,-0.679319308888744,150.894383618776,0.497976271443047,0.54515944924709,-0.128269402436866,0.19429629517806,0.510115618801837,0.560449384357577
"Exo-alpha-sialidase",11.519746835443,1.13130339395751,10.7100769230769,126.186873822115,1.39331852795412,65,12.0856451612903,256.516736535764,1.66079633877221,93,2.16785170138998,-0.634530598809603,155.994833559386,0.526664086162843,0.54515944924709,-0.120833331231537,0.200900935682365,0.54840847961552,0.560449384357577
"Hydroxyethylthiazole kinase",11.519746835443,1.13130339395751,10.7100769230769,126.186873822115,1.39331852795412,65,12.0856451612903,256.516736535764,1.66079633877221,93,2.16785170138998,-0.634530598809603,155.994833559386,0.526664086162843,0.54515944924709,-0.120833331231537,0.200900935682365,0.54840847961552,0.560449384357577
"Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)",11.519746835443,1.13130339395751,10.7100769230769,126.186873822115,1.39331852795412,65,12.0856451612903,256.516736535764,1.66079633877221,93,2.16785170138998,-0.634530598809603,155.994833559386,0.526664086162843,0.54515944924709,-0.120833331231537,0.200900935682365,0.54840847961552,0.560449384357577
"Thiamine-phosphate diphosphorylase",11.519746835443,1.13130339395751,10.7100769230769,126.186873822115,1.39331852795412,65,12.0856451612903,256.516736535764,1.66079633877221,93,2.16785170138998,-0.634530598809603,155.994833559386,0.526664086162843,0.54515944924709,-0.120833331231537,0.200900935682365,0.54840847961552,0.560449384357577
"Uroporphyrinogen decarboxylase",11.519746835443,1.13130339395751,10.7100769230769,126.186873822115,1.39331852795412,65,12.0856451612903,256.516736535764,1.66079633877221,93,2.16785170138998,-0.634530598809603,155.994833559386,0.526664086162843,0.54515944924709,-0.120833331231537,0.200900935682365,0.54840847961552,0.560449384357577
"Polar-amino-acid-transporting ATPase",11.23805907173,1.04585982619302,10.4231282051282,123.834307596154,1.38026924684533,65,11.8076344086021,207.985153280349,1.49545962755207,93,2.03507805536425,-0.680320934042082,154.42020321749,0.497319999055806,0.54515944924709,-0.124719103152371,0.190855010329435,0.514411700954805,0.560449384357577
"DNA-directed RNA polymerase",10.8881687763713,1.01180350131706,10.0894769230769,121.876617784615,1.36931548190842,65,11.446394265233,190.483733509532,1.43115763921189,93,1.98071630408512,-0.685063953559368,153.102152164409,0.494339429512341,0.54515944924709,-0.126181786818178,0.190780905550444,0.509333877838958,0.560449384357577
"Type I site-specific deoxyribonuclease",10.5332151898734,0.98944244560205,9.75172307692308,122.254416734615,1.37143617442903,65,11.0794193548387,178.187585808945,1.38419490908352,93,1.94854631119337,-0.68137784064393,151.464851783242,0.496672906535061,0.54515944924709,-0.127645288868161,0.193067918544626,0.50949656865022,0.560449384357577
"Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)",9.00231223628692,0.858483525358811,8.32781538461538,94.8585618820513,1.20804076524474,65,9.47373476702509,132.181353885409,1.1921849187472,93,1.69725288951923,-0.675161249973954,150.235636866976,0.500611109794464,0.54515944924709,-0.128922054170335,0.196157813363297,0.511997433643303,0.560449384357577
"Galactose-6-phosphate isomerase",8.51854852320675,0.794693007044663,7.90281025641026,70.3095222290598,1.04004084408746,65,8.94890322580645,120.915532875799,1.14024866593646,93,1.54332497470236,-0.677817690080434,154.768340867142,0.49889935992912,0.54515944924709,-0.124312555298866,0.191254387040071,0.516657675840318,0.560449384357577
"23S rRNA pseudouridine(1911/1915/1917) synthase",8.16612658227848,0.758852625987794,7.56710769230769,68.5555975038462,1.02698661143131,65,8.58479569892473,107.147100099112,1.07336822940891,93,1.48553722806384,-0.685063953559369,153.102152164409,0.494339429512341,0.54515944924709,-0.126181785775984,0.190780725631687,0.509333482506715,0.560449384357577
"Asparaginyl-tRNA synthase (glutamine-hydrolyzing)",8.16612658227848,0.758852625987794,7.56710769230769,68.5555975038462,1.02698661143131,65,8.58479569892473,107.147100099112,1.07336822940891,93,1.48553722806384,-0.685063953559369,153.102152164409,0.494339429512341,0.54515944924709,-0.126181785775984,0.190780725631687,0.509333482506715,0.560449384357577
"Cysteine desulfurase",8.16612658227848,0.758852625987794,7.56710769230769,68.5555975038462,1.02698661143131,65,8.58479569892473,107.147100099112,1.07336822940891,93,1.48553722806384,-0.685063953559369,153.102152164409,0.494339429512341,0.54515944924709,-0.126181785775984,0.190780725631687,0.509333482506715,0.560449384357577
"Glutaminyl-tRNA synthase (glutamine-hydrolyzing)",8.16612658227848,0.758852625987794,7.56710769230769,68.5555975038462,1.02698661143131,65,8.58479569892473,107.147100099112,1.07336822940891,93,1.48553722806384,-0.685063953559369,153.102152164409,0.494339429512341,0.54515944924709,-0.126181785775984,0.190780725631687,0.509333482506715,0.560449384357577
"Peptidylprolyl isomerase",8.16612658227848,0.758852625987794,7.56710769230769,68.5555975038462,1.02698661143131,65,8.58479569892473,107.147100099112,1.07336822940891,93,1.48553722806384,-0.685063953559369,153.102152164409,0.494339429512341,0.54515944924709,-0.126181785775984,0.190780725631687,0.509333482506715,0.560449384357577
"Tryptophan synthase",8.16612658227848,0.758852625987794,7.56710769230769,68.5555975038462,1.02698661143131,65,8.58479569892473,107.147100099112,1.07336822940891,93,1.48553722806384,-0.685063953559369,153.102152164409,0.494339429512341,0.54515944924709,-0.126181785775984,0.190780725631687,0.509333482506715,0.560449384357577
"Acetyl-CoA carboxylase",8.16486075949367,0.758857340312052,7.56608205128205,68.5589306876068,1.02701157725185,65,8.58336200716846,107.147055883227,1.07336800793801,93,1.48555432760776,-0.684781388994754,153.10112376477,0.494517252976229,0.54515944924709,-0.126150316811007,0.190811260375657,0.509506626116361,0.560449384357577
"Ribosomal-protein-alanine N-acetyltransferase",7.81623628691983,0.738569943168037,7.23345641025641,69.1093448735043,1.03112593331833,65,8.22355555555556,98.5957729597423,1.02964537667959,93,1.45718574384986,-0.679459807699822,150.896213886376,0.497887511714635,0.54515944924709,-0.128285685937619,0.194284362744279,0.510036041382426,0.560449384357577
"Serine-type D-Ala-D-Ala carboxypeptidase",7.81623628691983,0.738569943168037,7.23345641025641,69.1093448735043,1.03112593331833,65,8.22355555555556,98.5957729597423,1.02964537667959,93,1.45718574384986,-0.679459807699822,150.896213886376,0.497887511714635,0.54515944924709,-0.128285685937619,0.194284362744279,0.510036041382426,0.560449384357577
"Site-specific DNA-methyltransferase (adenine-specific)",7.8124388185654,0.738549438280377,7.23037948717949,69.1243360273504,1.03123776283537,65,8.21925448028674,98.5781851772895,1.02955353711077,93,1.45719998945752,-0.678613093783635,150.885422539729,0.498422547853018,0.54515944924709,-0.128187994547877,0.19437313243222,0.510550736363228,0.560449384357577
"Phosphate-transporting ATPase",6.98005063291139,0.64885087395982,6.47274871794872,48.1476170764957,0.860658219276169,65,7.3346164874552,79.7135185916576,0.925815644992267,93,1.26406771136679,-0.681820888039751,154.188229819371,0.496375102349029,0.54515944924709,-0.125004275712565,0.190680140606417,0.513066143319591,0.560449384357577
"Ribonuclease H",6.98005063291139,0.64885087395982,6.47274871794872,48.1476170764957,0.860658219276169,65,7.3346164874552,79.7135185916576,0.925815644992267,93,1.26406771136679,-0.681820888039751,154.188229819371,0.496375102349029,0.54515944924709,-0.125004275712565,0.190680140606417,0.513066143319591,0.560449384357577
"Alcohol dehydrogenase",6.63016033755274,0.620590928298877,6.13909743589744,47.6462090615385,0.856165054733458,65,6.97337634408602,70.4089661237338,0.870106693023591,93,1.22069826664545,-0.683444001670647,151.814962048914,0.495368073420685,0.54515944924709,-0.127421791695799,0.192337520310715,0.508634457403163,0.560449384357577
