,,,,,Group Mean and SE,,,,,,,Welch t-test,,,,,GLM Results - dfifference in log-abundance,,,
description,,Overall Mean,Overall SE,,Tumor Mean,Tumor SE,Tumor Ng,Non-Tumor Mean,Non-Tumor SE,Non-Tumor Ng,,t,df,p,fdr p-value,,Est,SE,p,fdr p-value
ABC-2.A; ABC-2 type transport system ATP-binding protein,,0.43628823,0.001207641,,0.428500587,0.000508942,65,0.441731206,0.000419831,93,,-0.434135675,144.6603449,0.332418366,0.455590353,,-0.030409459,0.071053235,0.669254965,0.999383253
ABC-2.P; ABC-2 type transport system permease protein,,0.417648297,0.001015028,,0.40461415,0.000349449,65,0.426758184,0.000299856,93,,-0.869025219,146.1157575,0.193129279,0.401311976,,-0.053283642,0.062388045,0.394376827,0.977977109
"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",,0.353637834,0.000982282,,0.364839674,0.000386721,65,0.345808591,0.000252347,93,,0.752818058,134.8356657,0.226435799,0.417302556,,0.05357259,0.070732011,0.449951375,0.977977109
SPP; sucrose-6-phosphatase [EC:3.1.3.24],,0.344034346,0.001215341,,0.356680963,0.000553766,65,0.335195312,0.000405301,93,,0.693783582,139.8515682,0.244484347,0.424048772,,0.062128339,0.090009371,0.49106701,0.980562834
ABC.CD.P; putative ABC transport system permease protein,,0.311243109,0.00074392,,0.315958538,0.000171114,65,0.30794738,0.000170026,93,,0.433739505,150.8002145,0.332548739,0.455678063,,0.025682071,0.061150106,0.675074954,0.999383253
ABC.CD.A; putative ABC transport system ATP-binding protein,,0.307663588,0.000826824,,0.308007224,0.000203401,65,0.307423412,0.000214265,93,,0.028566562,152.2933068,0.48862384,0.498129294,,0.001897247,0.068861796,0.978055067,0.999383253
ABC.PA.S; polar amino acid transport system substrate-binding protein,,0.230660775,0.000507492,,0.239172109,7.62261E-05,65,0.224711994,7.99812E-05,93,,1.156967213,152.1998171,0.124549184,0.386880433,,0.062363859,0.056064024,0.267690954,0.977977109
"rpoE; RNA polymerase sigma-70 factor, ECF subfamily",,0.222656374,0.000736437,,0.198494447,0.000153845,65,0.239543743,0.0001661,93,,-2.294921245,152.8517268,0.011549139,0.298818183,,-0.187974918,0.084760931,0.028020056,0.840365052
ABC.FEV.P; iron complex transport system permease protein,,0.212906336,0.000490417,,0.222595864,0.00011847,65,0.206134085,5.136E-05,93,,1.263193169,116.312745,0.104523017,0.386880433,,0.076831003,0.058125301,0.188164201,0.966735451
TC.FEV.OM; iron complex outermembrane recepter protein,,0.198266166,0.000765467,,0.199742688,0.000224321,65,0.197234189,0.000159314,93,,0.12807234,138.5669063,0.449138706,0.486882581,,0.012638183,0.098826727,0.898406873,0.999383253
fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100],,0.196941785,0.000389843,,0.186402745,5.74099E-05,65,0.204307782,4.02713E-05,93,,-1.811630304,138.0314739,0.036108683,0.371177091,,-0.091717963,0.05070836,0.072417946,0.84653316
"lacI, galR; LacI family transcriptional regulator",,0.19070052,0.000511418,,0.190998105,0.000144981,65,0.19049253,4.93181E-05,93,,0.036270199,106.3838138,0.485567441,0.496932094,,0.002650525,0.068690017,0.969269191,0.999383253
ABC.PE.S; peptide/nickel transport system substrate-binding protein,,0.188545596,0.000603427,,0.196518711,0.000182608,65,0.182972988,7.71923E-05,93,,0.840392111,115.2215711,0.201214553,0.404627962,,0.071419114,0.081038249,0.379510584,0.977977109
ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34],,0.188071424,0.000447118,,0.198958675,0.000106926,65,0.180462055,3.80593E-05,93,,1.536139999,108.138096,0.063712431,0.386880433,,0.097576608,0.059546155,0.103296901,0.905075463
"mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]",,0.187012065,0.000596781,,0.185051551,0.000122234,65,0.188382316,0.000103664,93,,-0.221609239,145.6906324,0.412464203,0.477532267,,-0.017839058,0.081863982,0.82778328,0.999383253
K07052; uncharacterized protein,,0.184830926,0.000761717,,0.183556041,0.000188467,65,0.185721974,0.00017413,93,,-0.1137452,148.6323997,0.454796639,0.48832186,,-0.01173077,0.105675188,0.911752853,0.999383253
ABC.FEV.S; iron complex transport system substrate-binding protein,,0.179802448,0.000463134,,0.188780653,0.000110371,65,0.173527358,4.35516E-05,93,,1.229452776,112.3079715,0.11073581,0.386880433,,0.0842505,0.064895357,0.196116946,0.971070055
ABC.PA.P; polar amino acid transport system permease protein,,0.17814191,0.000449671,,0.183143204,6.30499E-05,65,0.174646382,6.16477E-05,93,,0.760899798,150.3484544,0.22395432,0.416973059,,0.047505124,0.064456716,0.462224392,0.97968701
rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23],,0.175540337,0.000453417,,0.179563914,8.23552E-05,65,0.17272816,5.39249E-05,93,,0.585558382,134.990304,0.279574989,0.434163682,,0.038812181,0.065895359,0.556715094,0.992435956
ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:3.6.3.21],,0.16598082,0.000455427,,0.168585133,6.66619E-05,65,0.164160601,6.25132E-05,93,,0.389294257,149.1015777,0.348806961,0.459214742,,0.026595641,0.070192327,0.705279763,0.999383253
gpmB; probable phosphoglycerate mutase [EC:5.4.2.12],,0.139082694,0.000513184,,0.144087029,0.000115091,65,0.135585039,6.4358E-05,93,,0.63467335,127.7911818,0.263388055,0.429423819,,0.060818446,0.093850217,0.517913453,0.986944376
"trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]",,0.134872847,0.000241497,,0.135369984,2.07789E-05,65,0.134525385,1.66097E-05,93,,0.13812773,143.4486163,0.445166588,0.485321364,,0.006258735,0.045861199,0.891624713,0.999383253
K07090; uncharacterized protein,,0.1345759,0.000435675,,0.128042891,6.99085E-05,65,0.139141981,5.2409E-05,93,,-1.003559431,140.857219,0.158655947,0.386880433,,-0.083129563,0.08338484,0.320338188,0.977977109
E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48],,0.132655279,0.000412372,,0.131694128,8.36047E-05,65,0.133327051,3.7236E-05,93,,-0.148545372,117.4911832,0.441083517,0.4847188,,-0.012323117,0.079798039,0.87747124,0.999383253
"uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]",,0.128968271,0.000259458,,0.131747086,2.7818E-05,65,0.127026089,1.72124E-05,93,,0.703526815,132.4317478,0.241481286,0.421878858,,0.036491574,0.051293979,0.477886298,0.97968701
acpP; acyl carrier protein,,0.126289108,0.000172694,,0.126488397,1.23244E-05,65,0.12614982,7.66879E-06,93,,0.075720961,132.6879399,0.469877574,0.49263409,,0.002680332,0.035031689,0.939110082,0.999383253
ssb; single-strand DNA-binding protein,,0.12523985,0.000225711,,0.127919337,1.83673E-05,65,0.12336709,1.43142E-05,93,,0.796297066,142.4421602,0.213592263,0.413420788,,0.036235506,0.045980983,0.431860837,0.977977109
"hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]",,0.123572852,0.00025861,,0.128555409,3.4298E-05,65,0.120090419,1.36398E-05,93,,1.222608597,112.6337415,0.112014855,0.386880433,,0.068115055,0.052836576,0.199249062,0.971070055
ecfT; energy-coupling factor transport system permease protein,,0.123263551,0.000470655,,0.128409653,8.05341E-05,65,0.119666814,6.19743E-05,93,,0.732372757,141.9314771,0.232574386,0.419042172,,0.070514241,0.097272171,0.469588941,0.97968701
ecfA2; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-],,0.122177864,0.000439535,,0.132114548,8.10274E-05,65,0.11523287,4.78269E-05,93,,1.487189112,130.2759493,0.069690611,0.386880433,,0.136714293,0.09058472,0.133259583,0.943005055
mcp; methyl-accepting chemotaxis protein,,0.122058772,0.000781643,,0.115046829,0.000277084,65,0.126959593,0.000144517,93,,-0.580178624,124.5926501,0.281420978,0.434163682,,-0.098529614,0.166324583,0.554444743,0.992435956
"galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]",,0.121483017,0.000233898,,0.122621514,2.04418E-05,65,0.120687293,1.51052E-05,93,,0.324417752,140.2547386,0.373052559,0.466095809,,0.015899644,0.049261345,0.747308394,0.999383253
"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",,0.121220454,0.000289724,,0.119224784,3.51371E-05,65,0.122615276,2.1316E-05,93,,-0.451251963,131.5307925,0.326275536,0.452775734,,-0.028040964,0.061398624,0.648519474,0.999383253
"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",,0.116327974,0.000235679,,0.116719771,2.28195E-05,65,0.116054138,1.4347E-05,93,,0.109184081,133.15792,0.456610427,0.48832186,,0.005719159,0.051885725,0.912371776,0.999383253
"PDF, def; peptide deformylase [EC:3.5.1.88]",,0.115276734,0.000209701,,0.115955951,1.92906E-05,65,0.114802013,1.07586E-05,93,,0.210506662,127.6691326,0.416803928,0.477532267,,0.010001372,0.046556081,0.830184977,0.999383253
metQ; D-methionine transport system substrate-binding protein,,0.114537462,0.000253932,,0.123331228,3.25455E-05,65,0.108391281,1.27159E-05,93,,2.220675579,111.8980425,0.01419367,0.306667515,,0.129125999,0.05492555,0.019977263,0.840365052
K07025; putative hydrolase of the HAD superfamily,,0.112900049,0.000205152,,0.106526437,1.67383E-05,65,0.117354724,1.06169E-05,93,,-2.070329863,133.557711,0.020173886,0.319109966,,-0.096807988,0.046478807,0.038897427,0.840365052
recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12],,0.112750324,0.000283495,,0.116266827,3.26558E-05,65,0.110292553,2.07786E-05,93,,0.817286443,133.7005308,0.207609374,0.408649145,,0.052751374,0.063999173,0.41105548,0.977977109
