"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"mcp; methyl-accepting chemotaxis protein",5.25316455696202,1.56479904204813,6.46153846153846,370.096153846154,2.38616574911478,65,4.40860215053763,401.005142589995,2.07650746535038,93,3.16317407613055,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309774836652,0.609768958335856,0.53159225786305,0.5316010843638
"K07126; uncharacterized protein",4.72784810126582,1.40831913784332,5.81538461538462,299.777884615385,2.14754917420331,65,3.96774193548387,324.814165497896,1.86885671881534,93,2.8468566685175,0.649011487066858,141.275297089855,0.51738462437196,0.51738462437196,0.382309774836664,0.609768956385068,0.531592256551623,0.5316010843638
"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]",4.20253164556962,1.2518392336385,5.16923076923077,236.861538461538,1.90893259929183,65,3.52688172043011,256.643291257597,1.6612059722803,93,2.53053926090444,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.38230977483667,0.609768954380871,0.531592255204298,0.5316010843638
"TC.NSS; neurotransmitter:Na+ symporter, NSS family",2.62658227848101,0.782399521024064,3.23076923076923,92.5240384615385,1.19308287455739,65,2.20430107526882,100.251285647499,1.03825373267519,93,1.58158703806528,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309774836678,0.609768948585798,0.531592251308562,0.5316010843638
"K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]",2.10126582278481,0.625919616819251,2.58461538461538,59.2153846153846,0.954466299645914,65,1.76344086021505,64.1608228143993,0.830602986140152,93,1.26526963045222,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309748985853,0.609782047153085,0.5316010843638,0.5316010843638
"torZ; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]",2.10126582278481,0.625919616819251,2.58461538461538,59.2153846153846,0.954466299645914,65,1.76344086021505,64.1608228143993,0.830602986140152,93,1.26526963045222,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309748985853,0.609782047153085,0.5316010843638,0.5316010843638
"ABC.CD.A; putative ABC transport system ATP-binding protein",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
"ABC.CD.P; putative ABC transport system permease protein",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
"ABC.PA.P; polar amino acid transport system permease protein",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
"ABC.PA.S; polar amino acid transport system substrate-binding protein",1.57594936708861,0.469439712614438,1.93846153846154,33.3086538461538,0.715849724734435,65,1.32258064516129,36.0904628330996,0.622952239605114,93,0.948952222839166,0.649011487066859,141.275297089855,0.51738462437196,0.51738462437196,0.382309766516789,0.609776380096858,0.531597256001154,0.5316010843638
