"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"ABC.PE.S; peptide/nickel transport system substrate-binding protein",0.321823835115063,0.0296051385218361,0.387715371680079,0.139255929311788,0.0462860552703408,65,0.275770610634138,0.134236286260144,0.0379921166497529,93,0.0598815484103198,1.86943664647537,136.261356381919,0.0637082878853427,0.0905389203434989,1.09780813786846,0.551887935985919,0.0484289819192275,0.0615058014723659
"ytmI; uncharacterized N-acetyltransferase [EC:2.3.1.-]",0.264452056143654,0.0255689454762242,0.329366148143821,0.10990230480028,0.0411193955358669,65,0.219081991842463,0.0947647881715067,0.0319214068752917,93,0.0520555559583508,2.11858569697335,131.228712022828,0.0360102881152663,0.0845519649581624,1.26354116118211,0.599635698366987,0.036701296875367,0.0584520055878762
"ABC.PE.A1; peptide/nickel transport system ATP-binding protein",0.240380397634523,0.0228411308904671,0.297897310738474,0.0872939452513206,0.0366467430080388,65,0.20018040460488,0.07597371198224,0.0285818409872008,93,0.0464747824880857,2.10257909563417,131.653940899564,0.0374067001669149,0.0845519649581624,1.2461957818025,0.591514551483879,0.0367359187361236,0.0584520055878762
"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",0.234105691928325,0.0215771568645906,0.284061902169166,0.0754302337499109,0.0340656004587328,65,0.199190061114833,0.0700640683881772,0.027447715377473,93,0.0437474823739239,1.94003943653045,134.606144316568,0.0544658846965067,0.0845519649581624,1.14358869648163,0.5624503792892,0.0437249144235758,0.0584520055878762
"ABC.FEV.A; iron complex transport system ATP-binding protein [EC:3.6.3.34]",0.212495743144902,0.0200360180508597,0.260799970195071,0.0666898340300694,0.0320311948983558,65,0.17873472423887,0.059047336585873,0.0251975712658494,93,0.0407543254675379,2.0136573238482,132.437608550476,0.0460717442642882,0.0845519649581624,1.20602977528853,0.582129612972678,0.0399345506482886,0.0584520055878762
"TC.AGCS; alanine or glycine:cation symporter, AGCS family",0.208560930948358,0.0191861848037108,0.252658960211345,0.0592598364961475,0.0301942013017139,65,0.177739727700034,0.0556951411408993,0.0244718713094445,93,0.0388659526788478,1.92763144468306,135.133510146982,0.0559989855566456,0.0845519649581624,1.12186956480473,0.558435916020911,0.0462674076513011,0.0592471876445751
"ABC.FEV.P; iron complex transport system permease protein",0.207545493857814,0.01981182108541,0.254878230284707,0.0654283202055993,0.0317267953254754,65,0.174463473774501,0.0576276194845197,0.0248928066399551,93,0.0403266830279754,1.99408308524707,132.198868659198,0.0482003873657365,0.0845519649581624,1.22477020262746,0.584443628853595,0.0377310286986949,0.0584520055878762
"ABC.PE.P; peptide/nickel transport system permease protein",0.206072391386979,0.0197432862250145,0.254944125732233,0.0653524064476168,0.031708384343193,65,0.171914727597285,0.0567717682672235,0.0247072685894848,93,0.0401978949549424,2.06551607311812,131.568886327125,0.0408371157283718,0.0845519649581624,1.23999509626634,0.59284184862564,0.0380934336878349,0.0584520055878762
"ABC.PE.P1; peptide/nickel transport system permease protein",0.206072391386979,0.0197432862250145,0.254944125732233,0.0653524064476168,0.031708384343193,65,0.171914727597285,0.0567717682672235,0.0247072685894848,93,0.0401978949549424,2.06551607311812,131.568886327125,0.0408371157283718,0.0845519649581624,1.23999509626634,0.59284184862564,0.0380934336878349,0.0584520055878762
"fhaB; filamentous hemagglutinin",0.200683755249993,0.0202255010497076,0.254669009192585,0.0684626490969879,0.0324541449520557,65,0.162952126150332,0.059173529054119,0.0252244822733445,93,0.0411040877593374,2.2313324061405,131.337587689323,0.0273547222853768,0.0845519649581624,1.3432201034046,0.625419422251106,0.0332808758648162,0.0584520055878762
"ABC.FEV.S; iron complex transport system substrate-binding protein",0.197309146119402,0.0192447587644876,0.243393882683813,0.062402358767643,0.0309844523710355,65,0.16509938400449,0.0539009322327994,0.0240744660684659,93,0.0392379434376304,1.99537722469511,131.308254704671,0.0480713583305035,0.0845519649581624,1.24013288853342,0.595560360160573,0.0389479214512937,0.0584520055878762
"pdtaS; two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]",0.170459207250718,0.016655722632003,0.211877270063601,0.0467732361971587,0.0268251421093544,65,0.141511098833112,0.0402020018482781,0.0207913344873876,93,0.0339391785250246,2.0733021330674,131.082235601444,0.0401024496912649,0.0845519649581624,1.26377465135623,0.601807756925737,0.0373410961182088,0.0584520055878762
"TC.FEV.OM; iron complex outermembrane recepter protein",0.152810900499509,0.0144339363878726,0.186264277121092,0.0343735481702167,0.0229961696376447,65,0.129429508237113,0.0309190517952074,0.0182335658204618,93,0.0293476871411095,1.93660129367966,133.155685649643,0.0549122266553622,0.0845519649581624,1.18950372108083,0.575023710803638,0.0402323552593129,0.0584520055878762
"por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]",0.146509364957641,0.0158977531392345,0.182920939503923,0.0437535879751433,0.0259447898949772,65,0.121060415005938,0.0361173306564772,0.0197068108570532,93,0.0325805235815845,1.8986964510586,129.228186926909,0.0598339754375529,0.0868716286575738,1.30896882398137,0.625156515270682,0.0378927608234582,0.0584520055878762
"nhaC; Na+:H+ antiporter, NhaC family",0.138929481362726,0.013740974134173,0.168971860272225,0.0316819949636188,0.0220774841667387,65,0.117932119759313,0.0277871032485098,0.0172854290208716,93,0.0280392825080847,1.82029409982925,132.006270998001,0.0709795231005474,0.0993231561938655,1.19915863221847,0.585848256241942,0.0423483829708926,0.0584520055878762
"K07485; transposase",0.131385723472899,0.015441599971202,0.16938424885948,0.042348447658103,0.0255247836299435,65,0.104827614331741,0.0330985646547024,0.0188652735117787,93,0.0317397719593202,2.03393504561026,126.71532436404,0.0440456838971686,0.0845519649581624,1.34179742413089,0.597221095186085,0.026060286504414,0.0584520055878762
"ABC.CD.P; putative ABC transport system permease protein",0.129606033029197,0.0121667118997535,0.160555733748852,0.0247193508248776,0.0195012231667175,65,0.107974521773524,0.0215672464756625,0.0152284561293124,93,0.0247427480502977,2.12511608930582,131.767363622292,0.0354434999322678,0.0845519649581624,1.22274482631317,0.582175219420283,0.037310763817055,0.0584520055878762
"ABC.PE.A; peptide/nickel transport system ATP-binding protein",0.129606033029197,0.0121667118997535,0.160555733748852,0.0247193508248776,0.0195012231667175,65,0.107974521773524,0.0215672464756625,0.0152284561293124,93,0.0247427480502977,2.12511608930582,131.767363622292,0.0354434999322678,0.0845519649581624,1.22274482631317,0.582175219420283,0.037310763817055,0.0584520055878762
"K07133; uncharacterized protein",0.125793037048708,0.012094699138294,0.154927230610796,0.0242649429650667,0.0193211494183752,65,0.105430428645098,0.0215432115306527,0.0152199683249825,93,0.0245958177473458,2.01240725045785,132.562391535051,0.0462031067132245,0.0845519649581624,1.19020238101822,0.583988525756145,0.043233339301999,0.0584520055878762
"pbuG; putative MFS transporter, AGZA family, xanthine/uracil permease",0.117029791781131,0.0113780093083733,0.143376987562376,0.0214343315139291,0.0181592661296689,65,0.0986150850523028,0.019162036135561,0.014354211901289,93,0.0231474047287217,1.93377629305165,132.876555041529,0.0552667514444572,0.0845519649581624,1.18986706153297,0.588460643821076,0.0448854830035507,0.0584520055878762
"gltS; glutamate:Na+ symporter, ESS family",0.116907975565076,0.0108782783755852,0.140864480716707,0.0188252330566173,0.0170181952657091,65,0.100164181641894,0.0181225416115644,0.0139594426405221,93,0.0220110201702654,1.8490873553328,136.20243611701,0.0666131653536669,0.0938502113240159,1.06617128828912,0.545138114372633,0.0522772883997411,0.0645379298906984
"hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]",0.113262904166705,0.0105481333016572,0.135056411468734,0.0172172428272535,0.0162751546499818,65,0.0980308829341041,0.0174526061960844,0.0136989938395475,93,0.0212730602193663,1.74048905765439,138.461886686554,0.0839947738979001,0.116874617898428,1.05268546352886,0.540795335306477,0.0533852273555315,0.0656436642532728
"mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]",0.106839552408782,0.00981604793681171,0.129200567005896,0.0154635443357259,0.015424029372641,65,0.0912108862925197,0.0146227559999789,0.0125392956534107,93,0.0198779932984126,1.91114264619508,135.40764360813,0.0580995717174115,0.0845519649581624,1.11516482311723,0.55337032238239,0.0455985803401307,0.0584520055878762
"xerD; integrase/recombinase XerD",0.106839552408782,0.00981604793681171,0.129200567005896,0.0154635443357259,0.015424029372641,65,0.0912108862925197,0.0146227559999789,0.0125392956534107,93,0.0198779932984126,1.91114264619508,135.40764360813,0.0580995717174115,0.0845519649581624,1.11516482311723,0.55337032238239,0.0455985803401307,0.0584520055878762
"aroE; shikimate dehydrogenase [EC:1.1.1.25]",0.10565619073612,0.0107745308391733,0.131599403189175,0.0197934245418004,0.0174503359199761,65,0.08752383794635,0.0167243165827144,0.0134101215917103,93,0.0220078527990457,2.00271992207872,130.298921377765,0.0472826517238409,0.0845519649581624,1.2858098767129,0.612969276630104,0.0375460730216681,0.0584520055878762
