"description","Overall Mean","Overall SE","Tumor Mean","Tumor Var","Tumor SE","Tumor Ng","Non-Tumor Mean","Non-Tumor Var","Non-Tumor SE","Non-Tumor Ng","SEpooled","t","df","p.x","fdr_p.x","Est","SE","p.y","fdr_p.y"
"ABC-2.A; ABC-2 type transport system ATP-binding protein",0.782657591098891,0.0217146864209778,0.810634900830491,0.0557631912778962,0.0292898489314843,65,0.763103557415514,0.0874068762938188,0.0306571180132734,93,0.042399930840851,1.12102407886907,153.162716041852,0.264032191353133,0.328897988472925,-0.126181777172386,0.190777628015116,0.50932664477583,0.566148127057861
"ABC-2.P; ABC-2 type transport system permease protein",0.782657591098891,0.0217146864209778,0.810634900830491,0.0557631912778962,0.0292898489314843,65,0.763103557415514,0.0874068762938188,0.0306571180132734,93,0.042399930840851,1.12102407886907,153.162716041852,0.264032191353133,0.328897988472925,-0.126181777172386,0.190777628015116,0.50932664477583,0.566148127057861
"SPP; sucrose-6-phosphatase [EC:3.1.3.24]",0.695658813671292,0.0194535290876887,0.716912689150668,0.044393461589629,0.0261338158742297,65,0.680803954465276,0.0706142576258293,0.0275552734109254,93,0.0379772224484492,0.950799778325195,153.459632886881,0.343201078973035,0.426424477433683,-0.126862639668819,0.191449942583996,0.508538145456658,0.566148127057861
"ABC.CD.A; putative ABC transport system ATP-binding protein",0.66958169502407,0.0187481186233593,0.695323520661354,0.0418594527529959,0.0253769891991804,65,0.651590096460377,0.0648579217533235,0.0264082753715621,93,0.036624972203615,1.19408757385106,152.91746930381,0.234292720694035,0.328897988472925,-0.12581813785105,0.190616737861103,0.510189867418956,0.566148127057861
"ABC.CD.P; putative ABC transport system permease protein",0.582626684165313,0.0161757408479414,0.601646814824482,0.0307642548713911,0.0217553724121338,65,0.569333044457292,0.0487145837841308,0.0228869554301489,93,0.0315770321222919,1.02333145946219,153.369993729982,0.307762540990137,0.382818216354102,-0.126587927427086,0.191124835266897,0.508736332566433,0.566148127057861
"K07052; uncharacterized protein",0.513137709941976,0.0144323565777591,0.533287552181156,0.0248717654071391,0.0195612511032709,65,0.499054486871581,0.0383726596913664,0.0203127852347527,93,0.0282002090190552,1.21392948848159,152.824598176337,0.226647293990885,0.328897988472925,-0.12573616427733,0.190563457462389,0.510347068701803,0.566148127057861
"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial",0.495627906737714,0.0145013086005593,0.507924603144659,0.0246788364900219,0.0194852356295426,65,0.487033441507054,0.0393506454634784,0.0205700077792256,93,0.0283337189153877,0.737325082527676,153.507188832322,0.46205018657673,0.572819154723871,-0.127618420229573,0.192716621464103,0.508815241369029,0.566148127057861
"mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]",0.452084751455073,0.014106567333071,0.461017991461797,0.0235198937114828,0.0190222111921353,65,0.445841089084782,0.0371977189602914,0.0199993868078825,93,0.027601086778051,0.549866115745984,153.345431642266,0.583211184456015,0.698650384252507,-0.128269402436866,0.19429629525071,0.510115618959799,0.566148127057861
"oppA, mppA; oligopeptide transport system substrate-binding protein",0.374028461788775,0.0139772247404927,0.396432509365655,0.0248486976972498,0.0195521778040393,65,0.358369718858698,0.0347872153380299,0.0193405294370022,93,0.02750170423418,1.3840157025488,150.36907784863,0.168404426224232,0.328897988472925,-0.123051162283157,0.19346374991712,0.525680782430604,0.566148127057861
"ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:3.6.3.21]",0.321796054757266,0.00976692060540684,0.33691268192897,0.0116908352715057,0.0134111522315203,65,0.311230670174892,0.0173137407983912,0.013644385508211,93,0.01913186504431,1.34236843583194,151.869085582138,0.181479751229421,0.328897988472925,-0.12471910315237,0.190855010469578,0.51441170126323,0.566148127057861
